#Wed May 14 12:36:51 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = crate, slot, mpd, adc_ch, CM min, CM max
          58          11          12           0         352         460
          58          11          12           1         491         592
          58          11          12           2         420         528
          58          11          12           3         458         564
          58          11          12           4         575         682
          58          11          12           5         530         630
          58          11          12           6         476         584
          58          11          12           7         548         640
          58          11          12           8         479         564
          58          11          12           9         361         446
          58          11          12          10         308         396
          58          11          12          11         465         581
          58          11          16          10         530         631
          58          11          16          11         602         701
          58          11          16          12         572         670
          58          11          16          13         589         687
          58          11          16          14         406         500
          58          11          17           0         264         388
          58          11          17           1         379         488
          58          11          17           2         417         533
          58          11          17           3         378         490
          58          11          17           4         353         465
          58          11          13           0         422         550
          58          11          13           1         402         480
          58          11          13           2         494         589
          58          11          13           3         558         639
          58          11          13           4         332         404
          58          11          13           5         493         569
          58          11          13           6         495         593
          58          11          13           7         573         652
          58          11          13           8         384         462
          58          11          13           9         479         556
          58          11          13          10         361         449
          58          11          13          11         429         524
          58          11          16           5         484         566
          58          11          16           6         538         627
          58          11          16           7         583         663
          58          11          16           8         384         473
          58          11          16           9         604         694
          58          11          17           5         431         529
          58          11          17           6         424         513
          58          11          17           7         497         583
          58          11          17           8         489         578
          58          11          17           9         396         490
          58          11          14           0         303         405
          58          11          14           1         394         476
          58          11          14           2         284         394
          58          11          14           3         375         466
          58          11          14           4         382         470
          58          11          14           5         428         515
          58          11          14           6         464         569
          58          11          14           7         515         596
          58          11          14           8         542         627
          58          11          14           9         365         445
          58          11          14          10         412         493
          58          11          14          11         357         459
          58          11          16           0         595         685
          58          11          16           1         508         589
          58          11          16           2         396         483
          58          11          16           3         522         607
          58          11          16           4         407         493
          58          11          17          10         308         403
          58          11          17          11         259         339
          58          11          17          12         194         275
          58          11          17          13         375         460
          58          11          17          14         326         426
          58          11          15           0         608         732
          58          11          15           1         539         622
          58          11          15           2         562         654
          58          11          15           3         511         592
          58          11          15           4         615         696
          58          11          15           5         561         637
          58          11          15           6         623         717
          58          11          15           7         514         589
          58          11          15           8         446         520
          58          11          15           9         699         782
          58          11          15          10         473         548
          58          11          15          11         500         592
          58          11          18           0         501         607
          58          11          18           1         361         450
          58          11          18           2         577         665
          58          11          18           3         465         547
          58          11          18           4         435         521
          58          11          18           8         510         606
          58          11          18           9         414         503
          58          11          18          10         440         527
          58          11          18          11         509         601
          58          11          18          12         395         481
          20          11          12           0         376         498
          20          11          12           1         469         560
          20          11          12           2         479         579
          20          11          12           3         466         580
          20          11          12           4         508         591
          20          11          12           5         594         678
          20          11          12           6         677         770
          20          11          12           7         521         608
          20          11          12           8         508         600
          20          11          12           9         505         596
          20          11          12          10         501         585
          20          11          12          11         617         718
          20          11          15          10         540         642
          20          11          15          11         572         668
          20          11          15          12         400         498
          20          11          15          13         385         484
          20          11          15          14         488         580
          58          11          20           0        1237        1331
          58          11          20           1         488         613
          58          11          20           2         320         435
          58          11          20           3         316         425
          58          11          20           4         418         512
          58          11          19           0         575         687
          58          11          19           1         577         672
          58          11          19           2         517         603
          58          11          19           3         633         721
          58          11          19           4         535         621
          58          11          19           5         550         635
          58          11          19           6         597         691
          58          11          19           7         569         659
          58          11          19           8         525         607
          58          11          19           9         466         545
          58          11          19          10         564         645
          58          11          19          11         455         550
          20          11          15           5         597         701
          20          11          15           6         565         660
          20          11          15           7         449         537
          20          11          15           8         574         663
          20          11          15           9         549         640
          58          11          20           5         393         490
          58          11          20           6         311         395
          58          11          20           7         469         556
          58          11          20           8         546         650
          58          11          20           9         473         557
          20          11          13           0         554         704
          20          11          13           1         556         655
          20          11          13           2         456         570
          20          11          13           3         370         441
          20          11          13           4         461         544
          20          11          13           5         612         697
          20          11          13           6         548         652
          20          11          13           7         615         732
          20          11          13           8         458         538
          20          11          13           9         376         455
          20          11          13          10         645         735
          20          11          13          11         489         596
          20          11          15           0         334         434
          20          11          15           1         558         657
          20          11          15           2         581         697
          20          11          15           3         436         539
          20          11          15           4         474         573
          58          11          20          10         498         596
          58          11          20          11         483         579
          58          11          20          12         404         499
          58          11          20          13         273         364
          58          11          20          14         252         344
          20          11          14           0         603         722
          20          11          14           1         477         562
          20          11          14           2         622         725
          20          11          14           3         438         524
          20          11          14           4         649         739
          20          11          14           5         475         552
          20          11          14           6         491         580
          20          11          14           7         659         743
          20          11          14           8         514         588
          20          11          14           9         633         713
          20          11          14          10         474         552
          20          11          14          11         529         652
          58          11          21           0         593         687
          58          11          21           1         323         403
          58          11          21           2         596         689
          58          11          21           3         407         490
          58          11          21           4         280         368
          58          11          21           8         516         612
          58          11          21           9         424         524
          58          11          21          10         401         488
          58          11          21          11         451         537
          58          11          21          12         412         511
          58          11          22           0         484         601
          58          11          22           1         594         678
          58          11          22           2         576         675
          58          11          22           3         439         517
          58          11          22           4         688         767
          58          11          22           5         429         508
          58          11          22           6         520         606
          58          11          22           7         723         805
          58          11          22           8         752         831
          58          11          22           9         702         781
          58          11          22          10         736         810
          58          11          22          11         429         512
          24          11           9          10         443         530
