#Sat Feb 22 10:20:18 2025
# Copy this file into $DB_DIR/gemped to use these pedestals for analysis
# format = crate, slot, mpd, adc_ch, CM mean, CM RMS
          58          11          12           0         550.94          10.04
          58          11          12           1         682.91         8.8207
          58          11          12           2         617.31         9.2098
          58          11          12           3         659.01         9.4513
          58          11          12           4         758.79         9.5865
          58          11          12           5         713.43         9.5145
          58          11          12           6         662.91         9.7639
          58          11          12           7         727.15         8.5577
          58          11          12           8         648.77         8.0725
          58          11          12           9         533.03         8.2405
          58          11          12          10         485.17         8.3723
          58          11          12          11         653.41         10.046
          58          11          16          10         562.43         9.4187
          58          11          16          11          632.1         9.1432
          58          11          16          12         603.97         8.8651
          58          11          16          13          619.4         9.0658
          58          11          16          14         437.24         8.9955
          20          11           7           0         437.89         10.269
          20          11           7           1         536.26         9.1945
          20          11           7           2         576.63         9.4729
          20          11           7           3         534.29         9.3714
          20          11           7           4         516.99         9.5504
          58          11          13           0         488.14          12.04
          58          11          13           1         442.35         7.2343
          58          11          13           2         543.06         9.2537
          58          11          13           3         600.68         7.8347
          58          11          13           4         372.02         7.0491
          58          11          13           5         533.02         7.4397
          58          11          13           6         547.65         9.3703
          58          11          13           7         614.66         7.4745
          58          11          13           8         429.21         7.4908
          58          11          13           9         521.52         7.3405
          58          11          13          10         410.63         8.4934
          58          11          13          11         484.51         9.0752
          58          11          16           5          508.3         8.0062
          58          11          16           6         565.29         8.6717
          58          11          16           7         605.64         8.0047
          58          11          16           8          413.8         8.6439
          58          11          16           9         631.46         8.7582
          20          11           7           5         582.85         8.4043
          20          11           7           6         572.92         7.7344
          20          11           7           7         637.74         7.4965
          20          11           7           8         635.71         7.7657
          20          11           7           9         549.22         8.0818
          58          11          14           0         358.66         9.4228
          58          11          14           1         438.66         7.7806
          58          11          14           2         344.73         10.812
          58          11          14           3          425.1         8.6212
          58          11          14           4         429.79         8.4694
          58          11          14           5         475.09         8.3775
          58          11          14           6         519.66         10.036
          58          11          14           7         559.66         7.6947
          58          11          14           8         586.51         8.1444
          58          11          14           9         409.87         7.4725
          58          11          14          10         453.32         7.5521
          58          11          14          11         412.32         9.5349
          58          11          16           0         634.74         8.4977
          58          11          16           1         544.98         7.8679
          58          11          16           2         436.69         8.7942
          58          11          16           3          557.4           8.22
          58          11          16           4         443.16         8.3407
          20          11           7          10         402.43         8.5516
          20          11           7          11         347.85         8.0565
          20          11           7          12         274.98         7.6056
          20          11           7          13          459.2         7.8976
          20          11           7          14         420.52         8.7048
          58          11          15           0         658.55         12.368
          58          11          15           1         567.93         8.0199
          58          11          15           2         595.67         8.8459
          58          11          15           3         540.32         7.8974
          58          11          15           4         643.26         7.8838
          58          11          15           5         587.57         7.5848
          58          11          15           6         656.46         9.4711
          58          11          15           7         540.34         7.2743
          58          11          15           8         473.25         7.0375
          58          11          15           9         727.61         8.1163
          58          11          15          10         498.83         7.2728
          58          11          15          11         532.91          8.753
          58          11          18           0         541.79         10.509
          58          11          18           1         393.93         9.0575
          58          11          18           2          605.7         8.9781
          58          11          18           3         493.44         8.8361
          58          11          18           4         465.29         8.8229
          58          11          18           8         593.37         9.5029
          58          11          18           9         496.41         8.8677
          58          11          18          10         519.05         8.5617
          58          11          18          11         590.23         9.2106
          58          11          18          12         474.14          8.433
          58          11          19           0         425.17         12.558
          58          11          19           1         519.48         9.1382
          58          11          19           2         539.76          9.697
          58          11          19           3         545.33         11.914
          58          11          19           4          514.6         8.7595
          58          11          19           5         635.91         8.8639
          58          11          19           6          722.7         9.8945
          58          11          19           7         567.68         9.0904
          58          11          19           8         573.08         9.6087
          58          11          19           9         533.45         9.7649
          58          11          19          10         534.33         8.7222
          58          11          19          11         672.06         10.472
          20          11          15          10         567.75         10.834
          20          11          15          11          598.9         10.084
          20          11          15          12          426.3          10.45
          20          11          15          13         415.73         10.193
          20          11          15          14         516.44         9.5834
          58          11          20           0         472.79         10.009
          58          11          20           1         544.66         10.288
          58          11          20           2          378.7         9.8526
          58          11          20           3         369.67         9.8043
          58          11          20           4         460.68          9.301
          20          11          12           0         631.12         11.214
          20          11          12           1         605.29         9.2453
          20          11          12           2         537.69         8.9851
          20          11          12           3          640.8         9.0623
          20          11          12           4         599.49         8.8126
          20          11          12           5         578.69         8.8334
          20          11          12           6         628.15         9.2551
          20          11          12           7         593.59          9.409
          20          11          12           8         532.91         8.5998
          20          11          12           9         507.65         8.3657
          20          11          12          10         596.65          8.267
          20          11          12          11         481.49         9.8252
          20          11          15           5         627.86         10.641
          20          11          15           6         588.16         9.8044
          20          11          15           7         473.87         9.3238
          20          11          15           8         597.46         9.5291
          20          11          15           9         574.93         9.8154
          58          11          20           5         431.26         9.6498
          58          11          20           6         342.63         8.9158
          58          11          20           7         504.19         9.0333
          58          11          20           8         589.45         10.687
          58          11          20           9         508.55          8.456
          20          11          13           0         565.57         13.266
          20          11          13           1         538.17         8.5809
          20          11          13           2         446.56         10.411
          20          11          13           3         347.63         8.5298
          20          11          13           4         442.53         7.5682
          20          11          13           5         589.83         7.9629
          20          11          13           6         536.83         9.1337
          20          11          13           7         609.87         10.572
          20          11          13           8         439.25         8.0644
          20          11          13           9         359.31         7.4023
          20          11          13          10         629.74         9.1841
          20          11          13          11         481.82         10.673
          20          11          15           0         366.72         8.4504
          20          11          15           1         586.77         8.6738
          20          11          15           2         618.79         10.249
          20          11          15           3         469.13         9.1973
          20          11          15           4         505.95          8.853
          58          11          20          10         540.48         9.0786
          58          11          20          11         524.26         8.8814
          58          11          20          12          446.4         9.2193
          58          11          20          13         316.61         8.7788
