#Fri Feb 28 15:24:03 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
              10           39.01           8.603
              11           39.89            8.52
              12          -27.06           9.375
              13          -15.31           8.033
              14           22.57           8.437
              15           29.72           8.494
              16          -62.26           8.238
              17          -14.24           7.035
              18           19.62           13.99
              19           1.346           7.135
              20          -75.93           7.991
              21          -29.94           7.123
              22           14.96           8.919
              23           24.52           6.969
              24          -44.49           7.519
              25          -15.96           7.512
              26           44.77           7.678
              27           39.51           7.496
              28          -27.41           7.401
              29          -5.344           8.702
              30              25           7.128
              31           49.72               8
              32          -74.79           8.292
              33          -15.52           8.163
              34           30.02            11.4
              35           8.039           8.244
              36           -85.1           7.753
              37          -26.42           7.761
              38           43.73           9.036
              39           24.03           8.682
              40          -42.99           7.954
              41           -2.86           7.511
              42           23.21           9.388
              43           18.34           8.522
              44          -33.77             8.5
              45           2.403           8.717
              46           27.02           7.781
              47           37.11           8.918
              48          -46.53           8.673
              49          -23.64           7.036
              50           22.03           11.31
              51           10.39           6.909
              52          -64.17           7.745
              53           10.01           7.208
              54           16.21           8.469
              55           45.04           7.039
              56          -35.57            7.44
              57          -30.53           7.767
              58           23.83           7.543
              59           28.68           7.544
              60          -31.48           6.831
              61           5.386           9.854
              62           36.01            7.01
              63           50.49           8.426
              64          -72.49           7.945
              65          -28.09           8.182
              66           48.69           11.73
              67           39.75           8.806
              68          -57.23           7.787
              69          -6.674           7.945
              70           42.83           10.11
              71           39.97           8.192
              72          -41.52           8.004
              73           3.156           7.668
              74           33.26           8.663
              75           31.86           8.297
              76           -43.2           7.892
              77           3.582           7.564
              78           17.23           7.837
              79            40.3            8.93
              80          -76.45           8.476
              81          -30.22           6.928
              82           30.76            9.78
              83           21.38           6.827
              84          -54.92            8.08
              85          -14.34           6.936
              86           29.65           7.754
              87           32.89           6.867
              88          -41.83             7.3
              89           13.73           7.826
              90           34.21           7.062
              91           36.92           7.561
              92          -24.95           7.061
              93           13.97           9.788
              94           14.58            6.79
              95            44.4            8.51
              96          -75.83           7.872
              97          -9.145           7.522
              98           41.34           10.83
              99           14.69           9.081
             100          -77.43           7.708
             101          -13.04           7.417
             102           39.94           9.163
             103           26.75           8.086
             104          -57.72           8.216
             105          -15.33           9.061
             106              39           8.407
             107           46.29           8.537
             108          -34.23           7.685
             109           27.04           8.118
             110           37.65           8.581
             111           65.03           9.352
             112          -55.34           8.382
             113          -9.524           6.894
             114            37.2           9.098
             115           26.04           6.799
             116          -56.41           7.595
             117          -3.036           6.922
             118           19.42           7.492
             119           22.16           6.925
             120          -18.26           7.267
             121           1.572            7.77
             122           15.31           6.857
             123           17.91           7.684
             124          -23.47           6.858
             125          -16.71           11.85
             126           36.95           6.841
             127           67.24           9.492
APV               58              11               0               3
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0               0
              35               0               0
              36               0               0
              37               0               0
              38               0               0
              39               0               0
              40               0               0
              41               0               0
              42               0               0
              43               0               0
              44               0               0
              45               0               0
              46               0               0
              47               0               0
              48               0               0
              49               0               0
              50               0               0
              51               0               0
              52               0               0
              53               0               0
              54               0               0
              55               0               0
              56               0               0
              57               0               0
              58               0               0
              59               0               0
              60               0               0
              61               0               0
              62               0               0
              63               0               0
              64               0               0
              65               0               0
              66               0               0
              67               0               0
              68               0               0
              69               0               0
              70               0               0
              71               0               0
              72               0               0
              73               0               0
              74               0               0
              75               0               0
              76               0               0
              77               0               0
              78               0               0
              79               0               0
              80               0               0
              81               0               0
              82               0               0
              83               0               0
              84               0               0
              85               0               0
              86               0               0
              87               0               0
              88               0               0
              89               0               0
              90               0               0
              91               0               0
              92               0               0
              93               0               0
              94               0               0
              95               0               0
              96               0               0
              97               0               0
              98               0               0
              99               0               0
             100               0               0
             101               0               0
             102               0               0
             103               0               0
             104               0               0
             105               0               0
             106               0               0
             107               0               0
             108               0               0
             109               0               0
             110               0               0
             111               0               0
             112               0               0
             113               0               0
             114               0               0
             115               0               0
             116               0               0
             117               0               0
             118               0               0
             119               0               0
             120               0               0
             121               0               0
             122               0               0
             123               0               0
             124               0               0
             125               0               0
             126               0               0
             127               0               0
APV               58              11               0               4
               0            56.6           29.73
               1          -36.98           25.65
               2          -26.76           23.17
               3            16.6           22.71
               4          -140.3           9.422
               5          -63.89            8.57
               6          -13.56            11.4
               7            25.6           8.552
               8          -65.98           7.857
               9          -32.71           8.258
              10           6.446           8.522
              11            59.2           8.562
              12          -52.74           8.756
              13          -34.58           8.054
              14              14           8.354
              15           64.52           8.554
              16          -33.47           8.668
              17          -32.37           7.277
              18          -25.05           14.09
              19           42.43           7.612
              20          -68.66           8.162
              21          -14.99           7.382
              22          -23.08            8.91
              23           53.24           7.258
              24          -55.44           7.827
              25          -33.18           7.505
              26           21.23            7.92
              27           66.23           7.587
              28          -47.22            7.25
              29          -37.33           8.703
              30           14.29           7.652
              31           85.39               8
              32          -41.39           8.565
              33          -38.65           8.233
              34          -8.542           8.583
              35           37.62           8.409
              36          -60.48           7.993
              37          -47.43           7.712
              38           25.23           8.896
              39           65.83           8.217
              40          -35.33           8.276
              41          -20.87           7.605
              42           20.82           9.182
              43           65.07           8.515
              44          -41.87           9.109
              45          -12.35           8.834
              46           16.07           7.913
              47           91.29           9.008
              48          -44.59           8.961
              49          -45.09           7.118
              50          -10.04            11.5
              51           15.23           7.253
              52          -49.98           8.051
              53          -56.06           7.297
              54          -9.838           8.506
              55           60.61            7.14
              56          -39.99            7.67
              57          -16.29           7.877
              58           29.75            7.97
              59           70.92           7.742
              60          -47.62            7.09
              61          -38.41           9.366
              62           33.08           7.389
              63           84.91           8.568
              64          -43.27           8.326
              65          -54.39            8.37
              66           11.91            11.3
              67           39.09           8.915
              68          -49.24            8.04
              69          -14.81           7.931
              70         -0.3547           9.766
              71           34.09           8.182
              72           -21.2           8.143
              73          -27.65            7.63
              74           17.04            8.76
              75           71.06           8.573
              76          -38.66           8.225
              77          -13.91            7.62
              78           13.81           8.025
              79             104           9.124
              80          -57.02           8.834
              81          -47.39           7.058
              82           3.922           9.838
              83           37.01           7.254
              84          -60.48           8.266
              85          -33.15           7.156
              86           3.444           7.952
              87           50.56           7.144
              88          -59.91           7.451
              89          -19.19            7.93
              90           37.01           7.364
              91           74.25            7.85
              92          -29.03           7.002
              93           -33.6           9.627
              94           45.94            7.22
              95           103.8           8.795
              96          -40.88           8.307
              97          -44.68           7.594
              98           17.42            10.6
              99           50.54           9.207
             100          -42.89           7.987
             101          -37.69           7.455
             102           5.376           8.992
             103           80.11           8.308
             104          -36.74           8.411
             105          -15.85           9.083
             106           21.63           8.436
             107            72.9             8.8
             108          -48.85           7.917
             109           -16.7           8.226
             110            39.6           8.715
             111           119.3           9.605
             112           -49.1           8.685
             113          -31.27           7.003
             114           1.426           9.137
             115           58.17           7.246
             116          -41.38            7.93
             117          -22.99           7.008
             118           16.33           7.593
             119           71.31           7.227
             120          -30.75           7.377
             121          -15.59           7.783
             122           37.85           7.323
             123           63.28           8.089
             124          -43.92           6.971
             125          -20.43              12
             126           38.01           7.625
             127             164           9.699
APV               58              11               0               5
               0           37.56            31.1
               1          -21.51           26.93
               2           6.831           24.68
               3              17           24.36
               4          -186.9           9.688
               5          -41.32           8.601
               6           5.535           11.96
               7           22.75           8.985
               8          -111.1           7.737
               9          -28.24           8.262
              10           61.98           8.893
              11           69.74           8.653
              12           -80.2           8.757
              13           4.908           8.017
              14           54.37           8.631
              15           48.99           8.813
              16          -75.16           8.499
              17          -55.86           7.227
              18           18.06           15.27
              19           33.57            7.65
              20          -90.18           8.193
              21          -39.11           7.272
              22          0.9863           8.898
              23           62.32           7.426
              24            -102           7.568
              25          -14.59           7.503
              26           34.99           7.913
              27           52.13            7.62
              28          -86.05           7.093
              29         0.03513           8.461
              30           48.41           7.609
              31           66.75           8.221
              32          -58.94           8.614
              33          -50.07           8.119
              34           19.86           9.078
              35           58.85           8.818
              36            -107           7.928
              37          -20.63           7.623
              38           29.22           9.174
              39           83.89           8.703
              40          -101.7           8.145
              41          -1.794            7.56
              42           60.11           9.585
              43           65.81           8.795
              44             -95           8.689
              45           28.73           8.637
              46           62.28           8.219
              47           68.43           9.066
              48          -83.81            8.54
              49          -58.69           7.163
              50           11.55           11.61
              51            72.3           7.423
              52          -92.52            7.82
              53          -32.09            7.34
              54           21.66           8.605
              55           71.78           7.278
              56          -77.92           7.478
              57           -4.01           7.829
              58           46.83           8.034
              59           61.53           7.764
              60          -70.91           6.981
              61           29.46           9.434
              62           49.49           7.392
              63           89.78           8.796
              64          -90.06           8.124
              65          -45.16           8.436
              66           25.82           11.69
              67              61           9.154
              68          -105.7           7.902
              69          -27.85           7.901
              70           43.43           10.35
              71           57.54           8.586
              72          -87.78           8.025
              73         -0.1805           7.715
              74           68.83           9.219
              75            84.7           8.827
              76          -57.97           8.064
              77           12.32           7.599
              78           63.09            8.37
              79           68.45           9.755
              80          -86.29           8.369
              81          -30.75           7.184
              82           20.34           9.799
              83           34.77           7.388
              84          -85.19           8.146
              85          -26.79           7.177
              86           8.458           7.786
              87           59.15           7.302
              88          -81.37           7.392
              89          -19.19           7.838
              90           48.58           7.395
              91           62.73           7.933
              92          -77.48           7.024
              93           13.39           9.581
              94            57.7           7.142
              95           98.27           9.482
              96          -100.8           7.954
              97          -49.92           7.564
              98           27.23           10.95
              99           60.25           9.471
             100          -100.1           7.907
             101          -21.82           7.396
             102           52.32           9.283
             103            59.1           8.511
             104          -80.46           8.367
             105          0.9062           9.131
             106           58.15           8.849
             107           75.44           8.971
             108           -77.8           7.771
             109            15.5           7.981
             110           58.31           8.904
             111           99.78           9.714
             112          -92.51           8.381
             113           -35.9           6.981
             114            20.7            9.05
             115           51.17           7.253
             116          -113.6            7.59
             117           -38.6           7.018
             118           27.56           7.557
             119           62.62           7.262
             120          -87.74           7.176
             121          -9.804           7.698
             122           59.61           7.247
             123           57.44           8.279
             124          -54.77           6.944
             125           8.527           11.31
             126           76.09           7.657
             127           135.8           9.898
APV               58              11               0               6
               0           89.15           33.07
               1           8.563           27.32
               2          -4.031           24.53
               3          -12.99           23.93
               4          -144.1           9.785
               5          -38.14           8.815
               6          -16.86           10.88
               7           19.45           8.837
               8          -35.25           8.043
               9           7.711           8.296
              10          -1.675           8.339
              11           50.09            8.67
              12          -33.33           8.866
              13          -13.47           7.795
              14           1.735            8.06
              15           49.58            9.16
              16          -43.16           8.796
              17          -18.44           7.462
              18          -7.947           13.09
              19           18.07           7.546
              20          -45.98            8.43
              21          -23.16           7.297
              22          -3.393           8.605
              23           24.69           7.359
              24          -51.87           7.987
              25          -13.61           7.543
              26         -0.1541           7.664
              27           29.51           7.745
              28          -31.63           7.511
              29          -11.46           8.133
              30           29.34           7.569
              31           65.69           14.29
              32          -43.05           8.476
              33          -19.12           8.551
              34           6.317           8.113
              35           18.94           8.291
              36          -18.02           8.217
              37          -30.14           7.593
              38           5.529           8.606
              39           47.47           8.634
              40          -44.48           8.297
              41          -19.58           7.601
              42           11.81           8.896
              43           52.67           8.883
              44           -24.9           8.858
              45           5.061           8.423
              46           16.72           7.903
              47           65.24           9.575
              48          -23.64           9.074
              49          -6.343            7.44
              50          -24.09           10.86
              51              29            7.27
              52          -24.15           8.163
              53          -16.34           7.283
              54          -3.245           8.296
              55           38.63            7.22
              56          -40.08           7.796
              57          -22.26           7.592
              58           25.12           7.851
              59           42.99           7.826
              60          -21.56            7.27
              61          -13.42            8.99
              62           7.135           7.267
              63           68.91           9.052
              64          -44.18            8.27
              65          -8.246            8.74
              66           8.096           10.32
              67           31.31           8.781
              68           -27.5           8.113
              69          -9.302           8.083
              70          0.2473           9.372
              71           39.69            8.56
              72          -54.85           8.056
              73           -33.2           7.724
              74           8.187           8.693
              75           50.64           8.601
              76          -34.51           8.295
              77           5.013            7.52
              78            13.2            7.89
              79           79.88           9.508
              80          -27.73           8.979
              81          -43.35           7.274
              82          -22.69            9.03
              83           6.597           7.226
              84          -24.97           8.461
              85          -13.05           7.213
              86           2.253           7.472
              87           60.08           7.406
              88          -41.54           7.742
              89          -20.66           7.744
              90           17.25           7.202
              91           39.61           7.933
              92          -44.38           7.237
              93          -16.01           9.175
              94           11.51            7.05
              95           68.37           9.229
              96          -22.59           8.206
              97          -17.69           7.737
              98           2.725           9.751
              99           23.86           9.192
             100          -23.54            8.13
             101          -10.73           7.488
             102           20.75           8.782
             103           28.68           8.441
             104          -47.14           8.543
             105          -4.165           9.126
             106          -9.862           8.401
             107           51.83           8.836
             108          -40.05            8.04
             109           1.369           7.716
             110            32.9           8.492
             111           97.63           10.02
             112          -30.06           8.551
             113          -14.78           7.257
             114          -4.855           8.429
             115           15.79           7.243
             116          -60.01           7.947
             117          -23.39           7.218
             118           4.408           7.382
             119           54.56           7.425
             120          -31.69           7.578
             121          -18.28           7.671
             122         -0.4143           7.081
             123           58.65           8.226
             124          -28.89           7.163
             125          -22.89            10.6
             126           35.23           7.648
             127           117.3            10.1
APV               58              11               0               7
               0           88.49           33.75
               1          -13.45           28.95
               2          -19.32           26.56
               3           10.52           24.89
               4          -170.8           13.15
               5          -44.47           8.187
               6          -23.53           10.27
               7           33.94           9.642
               8          -55.27           8.567
               9          -41.96           9.403
              10           6.435           7.972
              11           57.62           9.403
              12          -45.14           8.588
