#Wed Mar 12 16:05:37 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           64.14           30.17
               1          -17.53           25.31
               2            15.6           22.48
               3          -24.32           22.97
               4          -158.9           9.152
               5          -71.74           7.491
               6          -4.323           9.971
               7           29.48           8.124
               8          -67.79           7.377
               9          -8.927           7.402
              10           22.22           7.652
              11           62.13           8.125
              12          -37.47           8.237
              13          -11.86           7.669
              14           46.33            7.52
              15           70.71           8.149
              16          -62.81           7.827
              17          -44.47           6.733
              18          -1.524            10.7
              19           13.67           6.802
              20          -77.55           7.498
              21           -23.9           6.781
              22           16.04           7.382
              23           40.46           6.691
              24          -65.47           7.122
              25           -4.63           7.146
              26           22.01           6.828
              27           43.82           7.159
              28          -59.54           6.661
              29          -16.58           8.365
              30           33.68           6.735
              31           70.27           7.618
              32          -61.24           8.037
              33           -37.2           7.086
              34           10.46             7.9
              35            37.2           7.741
              36           -71.3           7.593
              37          -30.38           6.862
              38           29.81           7.887
              39           63.27           8.028
              40          -40.97           7.877
              41          -7.035           7.226
              42           18.16           8.143
              43           48.03           8.058
              44          -68.89           7.411
              45           3.752            9.29
              46           32.12           7.142
              47           77.12           8.487
              48          -67.62           7.861
              49          -45.08           6.655
              50           3.838           9.057
              51           19.05           6.629
              52          -70.53           7.268
              53          -14.42           6.884
              54            7.77           7.162
              55           36.97           6.732
              56          -62.39           6.994
              57          -13.26           7.565
              58           16.24           6.816
              59           39.69            7.18
              60          -38.77           6.792
              61          -31.43           9.217
              62           39.98           6.584
              63           93.97           8.146
              64          -71.02           7.754
              65          -33.18           6.879
              66           22.08           9.408
              67           39.33           7.609
              68          -58.58           7.706
              69           1.942           6.434
              70           23.92           8.418
              71           54.09           7.536
              72          -65.98           7.595
              73          -16.91           6.501
              74           42.13           7.687
              75           68.62           7.797
              76          -38.29           7.141
              77          -23.99            7.04
              78           43.11           6.974
              79           89.29           8.437
              80          -85.68           7.898
              81          -27.44           6.714
              82           17.69           7.991
              83           21.84             6.5
              84          -61.73           7.641
              85          -16.64           6.637
              86           28.03           6.807
              87           56.12           6.631
              88          -50.06           8.457
              89          -5.021           7.029
              90           15.71           6.497
              91           63.44           7.176
              92          -32.31           6.624
              93           17.37           7.818
              94           27.72           6.385
              95           103.8           8.238
              96          -53.44           7.765
              97          -39.93           6.582
              98           2.508           8.866
              99           26.67           8.159
             100          -64.39           7.707
             101          -5.805           6.628
             102           47.69           7.853
             103           58.93           7.575
             104           -69.9           7.652
             105           13.68           8.055
             106           19.64           7.382
             107           78.74           8.018
             108          -48.33           7.033
             109          -1.307           8.016
             110           40.23           7.455
             111           111.1           8.825
             112          -62.94           7.707
             113          -16.83           6.579
             114          -9.632           7.572
             115           20.88           6.462
             116          -56.13           7.391
             117          -20.94           6.416
             118           16.91           6.654
             119           51.74           6.721
             120           -58.5           6.654
             121          -26.21           6.814
             122           18.23           6.489
             123           37.34           7.421
             124          -36.39           6.537
             125          -13.43           8.754
             126           36.27           6.377
             127           146.3           8.887
APV               58              11               0               1
               0           46.69           32.17
               1          -3.781           31.36
               2           3.374           25.48
               3          -18.31           25.81
               4          -150.5           9.586
               5          -47.97           7.873
               6           3.682           13.45
               7           45.71           9.396
               8          -65.41           7.772
               9          -32.13           7.626
              10           26.94           9.196
              11           38.06           9.076
              12           -48.8           8.599
              13          -17.77            7.69
              14           24.29           8.867
              15           48.03           9.224
              16          -58.41           8.768
              17          -32.15           6.903
              18          0.7237           15.02
              19           28.58           7.337
              20          -60.23           8.253
              21          -20.94           6.947
              22           21.76           9.024
              23           38.79           7.013
              24          -66.86           7.571
              25          -42.04           7.256
              26           30.65           7.843
              27           42.77           7.784
              28          -56.34           7.158
              29          -27.99           8.619
              30           41.66           7.232
              31           65.28           9.114
              32           -59.3           8.804
              33          -22.41           7.715
              34           8.876           9.455
              35           19.14           9.167
              36          -61.79           8.037
              37          -20.28           7.466
              38           37.92           9.771
              39              47           8.801
              40          -44.19           8.048
              41          -13.81           7.285
              42           46.23           10.28
              43           44.32            9.16
              44          -13.21           15.94
              45          -11.64           8.729
              46           41.51           8.253
              47           67.42           17.27
              48          -63.69           8.973
              49          -42.66           6.929
              50           6.449           12.42
              51           27.83           7.147
              52          -48.89           7.955
              53          -19.62            6.95
              54           10.54           8.461
              55           42.16           7.158
              56          -51.51           7.379
              57          -21.89           7.682
              58           24.33           7.628
              59            45.3           7.856
              60          -27.77           7.332
              61          -14.17           9.514
              62           21.28           7.078
              63           74.92           18.31
              64           -47.4            8.48
              65             -27           7.372
              66            20.4           12.36
              67           16.81           9.274
              68          -73.05           8.103
