#Thu May 22 16:32:04 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           67.08           30.04
               1          -16.93           25.22
               2              18           22.52
               3          -20.53           23.01
               4            -158           9.275
               5          -71.66           7.435
               6          -1.228           10.17
               7           33.58           8.211
               8          -71.32           7.329
               9          -14.21            7.53
              10           25.03           7.697
              11           65.41             8.2
              12          -39.98           8.176
              13          -14.99           7.879
              14           48.35           7.537
              15           74.17           8.128
              16          -62.57           7.984
              17          -43.66           6.708
              18          0.7509           10.95
              19           16.71           6.787
              20          -77.91           7.594
              21          -25.63           6.804
              22           18.02           7.579
              23           43.67            6.73
              24          -69.15           7.243
              25          -10.44           7.176
              26            23.5           6.819
              27           46.99           7.115
              28          -62.07           6.677
              29          -17.82           8.425
              30            35.9           6.699
              31           73.97           7.561
              32          -60.31           8.126
              33          -36.25           7.061
              34           14.17           7.991
              35           41.21           7.815
              36          -72.92           7.614
              37          -32.85           6.856
              38            32.3           7.909
              39           66.72           8.024
              40          -43.87           7.868
              41          -11.97            7.23
              42           20.35           8.353
              43           51.49           8.108
              44          -70.45           7.527
              45           5.367            9.35
              46           35.41           7.261
              47           81.36           8.562
              48          -67.94           8.001
              49          -44.55           6.651
              50           6.378           9.289
              51           21.88           6.696
              52          -73.12           7.361
              53          -18.34           6.878
              54            9.36           7.226
              55           40.45            6.71
              56          -65.87           6.999
              57          -17.69           7.507
              58           17.81           6.764
              59           42.75           7.282
              60          -39.41           6.691
              61          -28.03           9.415
              62           42.75             6.6
              63           98.14           8.125
              64          -69.75            7.96
              65          -34.97            6.77
              66            20.7           9.663
              67           39.95            7.68
              68          -60.58           7.792
              69          -1.651           6.417
              70           21.87             8.5
              71           55.78           7.669
              72          -68.46           7.667
              73          -19.69           6.503
              74           41.77           7.876
              75           71.09           7.836
              76          -39.87           7.187
              77          -25.78           7.013
              78           43.05           7.104
              79           92.88           8.472
              80          -86.03           7.963
              81          -30.31           6.723
              82           15.58           8.138
              83           22.78           6.457
              84          -63.97           7.681
              85          -20.18           6.584
              86           25.77           6.995
              87           57.47           6.662
              88          -52.52           8.502
              89           -7.58           7.013
              90           14.47           6.585
              91           66.55           7.243
              92          -34.41           6.621
              93            14.6           7.914
              94            27.6           6.265
              95           107.3           8.241
              96          -55.23           7.795
              97           -43.2           6.551
              98            1.56           9.015
              99           27.94           8.272
             100          -66.86           7.639
             101          -9.314           6.644
             102           46.33           7.885
             103           61.26           7.555
             104           -72.1           7.715
             105           11.69           7.975
             106           19.27            7.48
             107            82.3            7.99
             108          -50.19            6.94
             109          -3.422           8.028
             110           40.22           7.419
             111           115.7           8.948
             112           -64.5           7.808
             113          -20.08           6.668
             114          -11.92           7.689
             115           21.87           6.536
             116           -58.7           7.358
             117          -24.42           6.518
             118           15.07           6.656
             119           53.55           6.639
             120          -59.51           6.919
             121          -28.73           6.846
             122           17.52            6.42
             123           40.11           7.446
             124          -38.82           6.533
             125          -15.65           8.936
             126           36.43           6.373
             127           151.3           8.989
APV               58              11               0               1
               0            50.2           32.03
               1         -0.2315           31.43
               2          0.3609           25.55
               3          -20.13           25.74
               4          -146.9           9.482
               5          -44.27           7.871
               6           1.814           13.49
               7           44.24           9.393
               8          -63.04           7.782
               9          -29.44           7.662
              10           23.86           9.363
              11           36.53           9.133
              12          -45.99           8.648
              13          -15.83           7.797
              14           20.64           8.901
              15           46.86           9.231
              16          -57.11           8.848
              17          -30.98           6.878
              18            -1.6           15.49
              19           26.26           7.431
              20          -58.13           8.276
              21          -19.11           6.934
              22           20.34           9.223
              23           37.41           6.989
              24          -64.83           7.623
              25          -41.08           7.252
              26           28.03           7.882
              27            41.5           7.715
              28          -54.18           7.186
              29          -27.49           8.602
              30           38.62           7.316
              31           64.51             9.1
              32          -56.67           8.849
              33          -19.42           7.818
              34           5.829           9.568
              35           17.44           9.227
              36          -59.02           8.159
              37          -17.23           7.458
              38           35.19           9.904
              39           46.32           8.781
              40             -41           8.041
              41          -11.21           7.293
              42           43.49           10.34
              43           43.86           9.079
              44          -10.32           16.58
              45          -10.54           8.752
              46           37.97           8.282
              47           69.72           17.91
              48          -61.84           9.101
              49          -40.79           6.927
              50           4.127           12.67
              51              26           7.125
              52          -46.97           8.093
              53          -18.22           6.911
              54           8.096           8.621
              55            41.3           7.143
              56          -50.02           7.504
              57          -21.44           7.671
              58           21.15           7.643
              59           44.13           7.789
              60          -25.89           7.317
              61          -14.21           9.594
              62           18.02           7.136
              63           77.68           18.99
              64             -45           8.622
              65          -24.43           7.376
              66           18.75           12.72
              67           15.35             9.4
              68           -70.3           8.193
              69          -46.66           6.758
              70           36.12           11.12
              71            37.7            8.58
              72          -58.68           7.985
              73          -23.16           6.753
              74            42.3           9.449
              75           34.58           8.681
              76          -39.34           7.816
              77          -16.72           7.318
              78           16.98           8.466
              79           80.45            9.41
              80          -41.09           9.129
              81          -33.44           6.955
              82           8.954           10.51
              83           22.33           6.919
              84          -45.69            8.48
              85          -17.54           6.998
              86           16.29           8.001
              87            65.8           6.987
              88          -49.63           7.452
              89          -23.11           7.751
              90           36.41           7.351
              91           48.93           7.816
              92          -38.43           6.886
              93          -22.23           9.943
              94           18.18           6.952
              95           74.69           8.983
              96          -45.63           8.264
              97          -24.47           7.317
              98           24.21           11.74
              99           46.84           9.748
             100          -62.67           7.988
             101         -0.7045           7.325
             102           17.07           9.654
             103           41.55           8.385
             104          -47.95           8.221
             105          -7.281            8.02
             106           27.33           9.071
             107           57.71           8.847
             108          -34.25           7.521
             109           -6.05           8.193
             110           42.02           9.526
             111           74.63              10
             112          -42.44           9.069
             113          -34.14           6.855
             114           29.59            9.58
             115           42.23           6.971
             116          -47.35           7.916
             117          -25.82           6.905
             118            25.1           7.724
             119           44.71           7.084
             120          -43.18           7.276
             121          -23.94           7.662
             122           45.85           7.075
             123           61.79           8.067
             124          -56.18           6.797
             125          -6.926           12.06
             126           39.62           6.959
             127           114.8           10.82
APV               58              11               0               2
               0           48.58           28.45
               1          -2.737           24.24
               2           12.53           21.97
               3          -16.64           21.86
               4          -143.4           8.717
               5           -53.3           7.542
               6          -3.554           11.06
               7           30.12           8.255
               8          -73.75           7.119
               9          -21.47           7.018
              10           19.45           7.957
              11           43.76           7.886
              12          -59.57           8.674
              13          -8.162           7.051
              14          -5.013           7.589
              15            34.6           7.914
              16          -42.76           7.918
              17           -24.5           6.582
              18          -15.96           12.93
              19           22.06           6.718
              20          -62.65            7.46
              21          -18.92           6.673
              22           19.66           8.128
              23           39.25           6.531
              24          -55.59           6.969
              25          -6.551           6.917
              26          0.8618           7.033
              27           29.37           7.035
              28          -35.68           6.967
              29           6.247           7.932
              30           21.54           6.596
              31           77.22           7.485
              32          -10.77           8.003
              33          -28.41           7.581
              34           11.48            10.5
              35           17.72           7.561
              36          -55.03           7.417
              37          -35.41           7.045
              38           30.75           8.381
              39           53.74           8.104
              40          -59.83           7.395
              41          -20.52           6.821
              42           13.21           8.593
              43           48.59           8.018
              44          -55.82           8.002
              45           5.713           7.528
              46           12.59            7.14
