#Wed Apr  9 15:01:56 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           67.53           30.14
               1          -15.77           25.17
               2           16.98           22.49
               3          -21.96           22.89
               4          -157.8           9.229
               5          -70.99           7.415
               6          -2.269           9.888
               7           31.95           8.025
               8          -70.64           7.334
               9          -12.97           7.385
              10           24.02            7.64
              11           64.51           8.136
              12          -38.93           8.154
              13          -13.34           7.902
              14           47.44           7.553
              15           73.32           8.121
              16          -62.24           8.015
              17          -42.74            6.64
              18           0.165           10.86
              19           15.61           6.765
              20          -77.62           7.633
              21           -24.9           6.763
              22           17.48           7.434
              23           43.01           6.681
              24          -68.06           7.099
              25          -9.256           7.056
              26           22.92           6.735
              27           46.06           7.184
              28          -61.01           6.672
              29          -16.49           8.377
              30           35.18            6.66
              31              73           7.625
              32          -60.18               8
              33           -35.5           7.095
              34           12.55           7.885
              35           39.71           7.725
              36          -72.25           7.636
              37          -32.09           6.893
              38           31.27           7.896
              39           65.48           7.958
              40          -43.16           7.844
              41          -10.67           7.297
              42           19.57           8.256
              43           50.77           8.061
              44          -69.01           7.505
              45            6.39           9.405
              46           34.19           7.134
              47            80.6           8.376
              48          -67.67           8.005
              49          -43.76           6.662
              50            5.64           9.123
              51           21.29           6.639
              52          -72.73           7.297
              53          -17.98           6.806
              54           8.413           7.222
              55           39.28            6.76
              56          -65.25           6.982
              57          -16.31           7.507
              58           17.49            6.73
              59           41.98           7.302
              60           -37.9            6.62
              61          -26.54           9.339
              62           41.55           6.503
              63           97.03           8.076
              64          -69.48           7.807
              65           -34.2           6.856
              66           21.02           9.474
              67            39.4           7.629
              68          -60.07           7.691
              69           -1.16           6.515
              70           22.34           8.306
              71           54.95           7.614
              72          -67.86           7.528
              73          -19.17           6.473
              74           41.22           7.717
              75           70.41           7.841
              76          -39.25           7.161
              77          -25.48           7.038
              78           42.56           7.077
              79           92.22           8.466
              80          -85.78           7.974
              81          -30.06           6.698
              82           16.03           8.029
              83           22.32           6.502
              84          -63.58           7.644
              85          -19.89           6.538
              86           26.02           6.899
              87           56.98           6.519
              88          -51.69           8.554
              89          -7.392           6.999
              90            14.6           6.548
              91           65.64           7.233
              92          -34.08           6.639
              93           15.09           7.913
              94           27.57           6.336
              95           106.2           8.294
              96          -54.93           7.807
              97          -42.19           6.522
              98           1.839           8.842
              99           27.27           8.092
             100          -66.24           7.664
             101          -8.624           6.684
             102           46.05           7.793
             103            60.8           7.596
             104          -71.36           7.657
             105           11.69           8.007
             106           19.03           7.396
