#Tue Apr 15 10:19:36 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           67.46           29.91
               1          -16.35           25.11
               2           17.53           22.35
               3          -20.81           22.76
               4          -158.5           9.093
               5          -71.74           7.434
               6          -1.192           9.818
               7           32.85           7.964
               8          -71.33           7.204
               9          -13.56           7.433
              10           25.11           7.616
              11            65.3           8.013
              12          -40.44           8.113
              13          -14.66            7.83
              14           48.26           7.435
              15           74.06           8.027
              16          -63.32            7.83
              17           -43.9           6.614
              18          0.9125           10.61
              19            16.9           6.702
              20          -78.45            7.43
              21          -25.14           6.761
              22           18.23           7.275
              23           43.61           6.687
              24          -68.85           6.974
              25          -9.613           7.084
              26           23.73           6.749
              27           47.04           7.059
              28          -61.93           6.643
              29          -17.71           8.333
              30           36.02           6.539
              31           73.79           7.557
              32           -60.8           7.874
              33          -36.85            7.03
              34           13.84           7.796
              35           40.68           7.702
              36          -73.14           7.479
              37          -32.23           6.885
              38           32.32           7.788
              39              66           7.873
              40          -44.15           7.704
              41          -11.64           7.221
              42           20.54           8.084
              43           51.63           7.938
              44          -70.36            7.38
              45           5.156           9.274
              46           35.99           7.134
              47           81.21           8.386
              48          -68.59           7.793
              49           -44.3           6.607
              50           6.437           8.935
              51           22.02           6.637
              52             -73           7.253
              53          -18.16           6.793
              54           9.794           7.023
              55           40.02           6.727
              56          -66.03           6.928
              57          -17.23           7.422
              58           18.28           6.755
              59           43.09           7.244
              60          -39.77           6.582
              61          -27.92           9.266
              62            42.5           6.505
              63           97.89           8.019
              64          -70.55           7.744
              65          -34.94           6.707
              66           21.16           9.367
              67           39.92           7.584
              68          -61.07           7.631
              69          -1.983           6.417
              70           22.82            8.25
              71           56.06           7.523
              72          -68.51           7.544
              73          -19.36           6.403
              74           41.73           7.591
              75           71.01           7.723
              76          -40.28           7.113
              77           -25.3           6.903
              78           43.07           6.958
              79           93.24           8.343
              80          -86.59           7.816
              81          -30.37           6.548
              82           15.93           7.839
              83           22.68           6.447
              84          -64.41           7.547
              85           -20.1           6.503
              86            25.8           6.808
              87           57.07           6.541
              88          -52.18           8.411
              89          -7.802           6.913
              90           14.87           6.471
              91           66.03           7.242
              92          -34.38           6.574
              93           14.75           7.698
              94              28           6.303
              95           106.9            8.26
              96          -55.65           7.724
              97          -42.97           6.445
              98           2.088           8.799
              99           28.29           8.072
             100          -66.74           7.624
             101          -9.266           6.588
             102           46.22           7.819
             103           61.62           7.561
             104          -72.13           7.602
             105            11.5           7.844
             106           19.99           7.334
             107           81.64           8.012
             108          -50.01           6.915
             109          -3.042           7.909
             110           40.48           7.343
             111             115           8.751
             112          -64.92           7.641
             113          -20.17           6.542
             114          -11.24           7.612
             115           22.03           6.413
             116          -59.01           7.253
             117          -24.05           6.385
             118           15.27           6.698
             119           53.69           6.689
             120          -60.18           7.101
             121          -28.45           6.794
             122           17.83           6.359
             123           40.57           7.316
             124          -38.71           6.465
             125          -15.26           8.809
             126           36.54           6.357
             127           150.3           8.936
APV               58              11               0               1
               0           51.77           31.72
               1         -0.1361           30.94
               2          0.3281            25.3
               3          -21.24           25.35
               4          -147.3           9.417
               5          -44.99           7.747
               6           1.327            12.9
               7           43.25           9.174
               8          -62.84           7.569
               9          -29.95           7.552
              10           24.12               9
              11           36.65           8.924
              12          -46.05           8.575
              13           -16.2           7.671
              14           21.06           8.574
              15           47.22           9.095
              16          -56.81           8.646
              17          -30.94            6.86
              18         -0.8335           14.72
              19           25.92           7.243
              20          -58.83           8.136
              21          -19.57           6.937
              22           20.58           8.827
              23            36.5           6.849
              24           -65.2           7.549
              25          -41.11           7.222
              26           28.02           7.552
              27           41.44           7.644
              28          -54.14           7.055
              29          -27.48           8.398
              30           38.38            7.21
              31           64.29           8.994
              32          -57.53           8.703
              33          -19.89           7.643
              34           5.403           9.235
              35           17.03           8.892
              36          -59.42            7.94
              37          -17.65           7.378
              38           35.18           9.573
              39           45.86           8.658
              40          -41.34           7.974
              41           -11.6           7.225
              42           43.06           9.913
              43           43.39           8.949
              44          -11.11           15.68
              45          -11.01           8.519
              46              38           8.089
              47            69.5           16.95
              48          -62.45           8.894
              49             -41           6.894
              50           4.536            12.1
              51           26.06            7.07
              52          -47.64            7.96
              53          -18.77           6.907
              54            8.55           8.318
              55           40.65           7.103
              56          -50.01           7.452
              57          -21.85           7.582
              58           21.29           7.473
              59            43.9           7.789
              60          -26.45           7.212
              61          -13.73           9.346
              62           18.58           6.912
              63           77.47           18.01
              64          -45.26           8.339
              65          -24.31            7.24
              66           19.07           12.01
              67            15.6           9.078
              68          -70.01           7.991
              69          -46.02           6.641
              70           35.86           10.82
              71            37.6           8.554
              72          -58.21           7.836
              73          -22.68           6.673
              74           42.03           9.188
              75           34.62           8.572
              76          -39.07           7.647
              77          -16.09           7.216
              78           17.37           8.262
              79           80.91            9.26
              80          -41.48           8.907
              81          -33.28           6.926
              82           9.564           9.958
              83           22.37           6.794
              84          -46.31           8.247
              85          -17.27            6.92
              86           17.04           7.837
              87           65.41           7.024
              88           -49.4           7.333
              89          -22.75           7.637
              90           36.91           7.148
              91           49.24           7.751
              92           -38.6           6.866
              93           -21.2             9.5
              94            18.7           6.848
              95           74.44           8.904
              96          -46.24           8.162
              97          -24.62           7.244
              98           24.97           11.21
              99           46.89           9.623
             100          -62.44           7.917
             101         -0.9401           7.096
             102           17.87           9.311
             103           41.39           8.281
             104          -47.62           8.101
             105           -7.13           7.899
             106           27.61           8.827
             107           57.55            8.76
             108          -34.28           7.476
             109          -5.595           8.067
             110           41.92           9.219
             111           74.67            9.79
             112          -42.58            8.67
             113          -33.67           6.749
             114           30.03           9.159
             115           42.19            6.81
             116          -47.42           7.703
             117           -25.2           6.817
             118           25.38           7.572
             119           44.52           7.075
             120          -43.15           7.144
             121          -22.96           7.488
             122           46.12           6.971
             123           61.82            8.08
             124          -55.99           6.697
             125          -6.141           11.46
             126            39.9           6.879
             127           114.8           10.59
APV               58              11               0               2
               0           49.24           28.22
               1          -2.118           24.09
               2           12.35           21.88
               3          -17.12           21.53
               4            -144           8.553
               5          -53.27           7.416
               6          -3.379           10.74
               7           29.98           8.099
               8          -73.73           6.965
               9          -21.61           6.998
              10           18.77           7.797
              11           43.74           7.785
              12          -59.16           8.528
              13          -8.048           6.994
              14          -4.623           7.391
              15           34.48           7.769
              16          -44.22           7.768
              17          -25.02           6.578
              18           -15.6           12.37
              19           21.85           6.652
              20          -63.27           7.331
              21          -18.87           6.582
              22           19.46           7.923
              23           38.94           6.454
              24          -55.98           6.915
              25          -6.541           6.813
              26           1.465           6.858
              27           29.63           6.952
              28          -35.63           6.841
              29           6.033           7.723
              30           21.74           6.495
              31           77.01           7.523
              32           -12.4           7.824
              33          -28.21           7.453
              34           11.46           10.14
              35            17.7           7.386
              36          -55.31           7.267
              37          -35.13           7.024
              38           30.37           8.222
              39            53.5           7.972
              40          -59.72           7.297
              41          -19.94           6.773
              42           13.35           8.456
              43           48.02           7.935
              44          -55.39           7.849
              45           5.506           7.386
              46           12.92           7.101
              47           66.52           8.358
              48          -48.69           7.904
              49          0.7005           6.509
              50          -5.784            9.97
              51           21.23           6.514
              52          -32.17           7.181
              53          -9.167            6.56
              54           11.15           7.548
              55           45.78           6.554
              56          -39.09           6.738
              57          -12.02           7.059
              58           6.694           6.761
              59           60.06           7.043
              60          -48.09            6.37
              61           -27.9           8.595
              62           13.79           6.442
              63           47.08           7.989
              64          -58.39           7.353
              65          -27.42           6.953
              66           9.282           10.33
              67           40.41           7.979
              68          -54.79           7.319
              69          -29.67            6.65
              70           3.392           8.989
              71              56           7.543
              72          -46.12           7.294
              73          -1.615           6.473
              74           31.88           7.947
              75           64.83           7.812
              76          -62.59           7.288
              77           2.537           6.648
              78           36.93           7.123
              79           75.03           8.445
              80          -33.41           7.842
              81          -5.879           6.508
              82           31.83           8.809
              83           45.15           6.403
              84          -58.52           7.384
              85          0.7105            6.51
              86              27           7.049
              87           43.35           6.473
              88          -49.29            6.78
              89          -4.015           7.134
              90           11.16           6.541
              91           43.99           7.125
              92           -62.6           6.457
              93          -5.739           8.589
              94           37.76           6.329
              95           74.46           8.183
              96          -45.06           7.296
              97          -29.56           6.949
              98          -12.12           9.411
              99           24.01           8.384
             100          -71.38           7.169
             101          -6.569           6.768
             102           16.84           8.147
             103           53.76           7.547
             104          -38.37           7.623
             105          -2.245           6.934
             106            23.7           7.663
             107           57.28            7.91
             108          -56.69           7.133
             109          0.4758           6.998
             110           31.32           7.749
             111           85.06           8.803
             112          -38.62           7.643
             113          -21.91           6.392
             114           19.17            8.12
             115           40.68           6.402
             116          -29.17           7.121
             117          -10.62           6.401
             118           11.92           6.786
             119           52.56            6.59
             120          -45.47           6.613
             121           1.875           6.961
             122           13.67           6.323
             123           54.21           7.437
             124          -49.88           6.224
             125          -13.55           10.27
             126           17.36           6.287
             127           102.9           9.032
APV               58              11               0               3
               0           47.99           28.02
               1          -18.88           23.34
               2          -14.86           20.47
               3           24.45           20.76
               4          -155.7           8.483
               5          -76.85           7.354
               6          -12.58           10.07
               7           38.65           8.102
               8          -74.73           6.921
               9          -33.24           6.987
              10           27.48           7.662
              11           56.51           7.995
              12          -73.41           7.649
              13          -9.885           7.047
              14           28.07           7.398
              15           61.54           7.945
              16          -52.47            7.53
              17          -49.53           6.498
              18           13.43           12.69
              19           42.91           6.641
              20          -74.96           7.216
              21           -50.2           6.633
              22          -3.197           7.999
              23           52.82           6.475
              24          -39.01           6.748
              25          -16.07           6.766
              26           8.692           6.949
              27           69.03           6.982
              28          -37.97           6.499
              29         -0.1223           7.849
              30           41.35           6.637
              31           72.65           7.533
              32          -70.09           7.425
              33          -42.13           7.284
              34           4.072           7.441
              35           45.39           7.751
              36          -69.56           7.063
              37          -47.78           6.859
              38           34.38           7.869
              39           59.41           7.887
              40          -58.99           7.094
              41           -20.4           6.709
              42           26.27           8.377
              43           56.79           8.092
              44          -53.51           7.717
              45          -5.343           7.523
              46           37.32           7.105
              47           63.72           8.337
              48          -52.69           7.791
              49          -35.54            6.56
              50             -10           10.46
              51           45.73           6.473
              52          -62.89           6.963
              53          -31.17           6.587
              54           21.04           7.657
              55           57.93           6.445
              56          -51.02           6.654
              57          -28.32           7.094
              58           24.09           6.933
              59           74.14           7.045
              60           -32.6           6.434
              61          -9.249            8.59
              62           24.88           6.353
              63           80.62            7.97
              64          -55.91           7.172
              65          -53.03           6.572
              66          -5.498           9.327
              67           64.72           7.903
              68          -59.28           7.089
              69          -29.72           7.034
              70           20.19            8.53
              71            72.8           7.628
              72          -64.13           6.957
              73           -22.6           6.447
              74           18.74           7.565
              75            69.5           7.779
              76          -54.55            6.94
              77           1.664           6.889
              78           52.83           7.129
              79           85.22           8.364
              80          -71.42           7.646
              81          -48.89           6.332
              82           4.591           8.827
              83           53.81           6.312
              84          -70.01           7.133
              85          -43.36           6.394
              86           7.983            7.09
              87           71.83           6.402
              88          -54.24           6.501
              89          -31.93           7.017
              90            17.6           6.555
              91           59.92           7.002
              92          -45.68           6.206
              93           6.258           8.689
              94           42.44           6.381
              95           85.63           8.047
              96             -74           7.106
              97          -39.52            6.68
              98           15.28           8.816
              99           48.77            8.25
             100          -81.58           6.954
             101          -28.71           6.781
             102           33.06            7.71
             103           69.95            7.59
             104          -67.92           7.214
             105          -3.293           7.319
             106           25.94           7.328
             107            63.5           7.905
             108          -68.75           6.706
             109           11.12           7.484
             110           54.68           7.674
             111           113.5           8.835
             112           -61.3           7.546
             113          -44.33            6.97
             114           10.68           8.211
             115           52.44           6.253
             116          -59.43           6.836
             117          -47.09           6.319
             118           23.96           6.789
             119           73.35           6.443
             120          -56.97           6.372
             121           -5.27            7.02
             122           51.17           6.409
             123           77.66           7.305
             124          -38.18            6.12
             125          -3.632           10.33
             126           47.02           6.346
             127           116.5           8.906
APV               58              11               0               4
               0           60.54           29.57
               1          -31.56           25.48
               2          -28.17           23.14
               3           13.76           22.64
               4          -137.2           9.413
               5          -60.12           8.058
               6          -15.34           11.32
               7           23.33           8.608
               8           -62.1           7.824
               9          -28.43           7.798
              10           3.793           8.432
              11           57.11           8.499
              12          -48.01           8.724
              13          -28.86           7.802
              14           12.05           8.284
              15           61.98           8.396
              16          -30.37           8.722
              17          -28.11           7.202
              18          -26.36           13.81
              19           40.09           7.532
              20           -65.1           8.089
              21          -11.52           7.224
              22          -24.85           8.726
              23           50.84           7.263
              24          -51.89           7.733
              25          -29.07           7.525
              26           18.93           7.815
              27           63.96           7.615
              28          -42.35           7.161
              29          -31.07           8.493
              30           12.18           7.575
              31           83.09           7.991
              32           -38.2           8.568
              33          -34.15           8.196
              34          -10.43           8.568
              35           35.04           8.447
              36          -57.14           7.983
              37          -43.85           7.583
              38           22.97           8.932
              39            63.9           8.267
              40          -31.45           8.139
              41           -16.6           7.551
              42           18.44           9.106
              43           63.04           8.526
              44          -36.91           9.051
              45          -7.091             8.5
              46           13.81           7.779
              47           89.12           8.987
              48          -41.07           8.804
              49          -40.96           7.067
              50          -11.79           11.41
              51           12.99           7.277
              52          -46.91           8.015
              53          -52.32             7.1
              54          -11.67            8.44
              55           58.69           7.126
              56          -35.23           7.606
              57          -10.94           7.829
              58           27.59           7.918
              59            68.6           7.712
              60          -42.41           7.072
              61          -33.48           9.493
              62           30.48           7.348
              63           82.13           8.417
              64           -40.5           8.223
              65          -54.05            7.36
              66           9.851           11.09
              67           36.14            8.95
              68          -47.21           8.005
              69          -14.82           7.183
              70          -2.549           9.641
              71           31.74           8.095
              72           -19.7            8.13
              73           -28.3            7.11
              74           14.29           8.685
              75           68.38           8.433
              76           -38.2           8.047
              77           -14.8           7.525
              78           10.79            7.89
              79           100.9           9.029
              80          -54.39           8.822
              81          -47.11           6.976
              82           2.593           9.721
              83           34.97           7.235
              84           -58.8           8.324
              85           -33.8           7.003
              86           2.019           7.907
              87           48.27           7.152
              88          -58.41           7.479
