#Mon Feb 24 12:30:17 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           68.56           30.67
               1          -22.11           25.93
               2          -17.32            22.9
               3           -28.9           23.56
               4          -125.9           9.368
               5          -43.56           8.075
               6          -20.07           10.99
               7           34.16           8.211
               8          -71.16           7.304
               9           -19.4           7.846
              10           21.73           8.102
              11           53.28           8.151
              12          -53.25           8.013
              13          -1.785           7.948
              14           22.76           7.812
              15           74.38           8.342
              16           3.143           8.043
              17          -33.55           6.777
              18          -11.48           11.84
              19           6.867           6.897
              20          -39.63           7.807
              21          -19.05            6.88
              22           9.291           7.744
              23           58.28           6.778
              24          -61.94           7.095
              25          -22.46           7.125
              26           6.091           6.968
              27           53.71           7.302
              28          -53.14           6.724
              29          -27.92           8.517
              30           23.68           6.762
              31           79.75            7.79
              32          -37.81           8.063
              33          -29.31           7.288
              34           20.44           8.231
              35           43.71             8.1
              36          -55.22           7.577
              37          -22.94           6.912
              38           2.787           8.285
              39           49.79           7.992
              40          -51.35           7.698
              41          -10.04           7.232
              42           22.02           8.754
              43            65.9           8.148
              44          -54.27           7.639
              45          -15.85           8.903
              46           7.993           7.208
              47           83.48           8.589
              48          -27.38           8.036
              49          -21.76           6.893
              50           11.67           9.763
              51           27.31           6.819
              52          -54.87           7.348
              53          -31.27           6.864
              54            10.6            7.54
              55           42.04            6.81
              56          -60.95           6.908
              57          -9.058           7.637
              58           9.516           7.022
              59           48.53           7.253
              60          -45.76           6.533
              61          -23.59           9.536
              62           7.486           6.609
              63           83.48           8.236
              64          -33.54           7.973
              65          -12.13           7.619
              66           5.751           10.27
              67           29.93           8.131
              68          -55.96           7.639
              69          -16.34           7.167
              70           12.84           8.989
              71           61.72           7.761
              72          -54.39           7.563
              73          -23.33           6.982
              74           11.12           7.879
              75           51.04           7.893
              76          -46.56           7.119
              77          -13.64           6.884
              78            18.5           7.169
              79           93.21           8.618
              80           -30.1           8.099
              81          -31.06           6.647
              82          -12.53           8.525
              83           43.38           6.662
              84          -63.31           7.568
              85          -21.84            6.59
              86           10.61           7.101
              87           62.66            6.71
              88           -56.4           6.833
              89          -7.354            7.15
              90           4.857           6.584
              91           66.46           7.347
              92          -36.96           6.548
              93          -11.38           8.318
              94           19.84           6.578
              95           99.93            8.35
              96          -41.17           7.626
              97          -32.01           6.686
              98           9.355           9.663
              99            36.4           8.587
             100          -58.97           7.509
             101          -20.24           6.582
             102          -11.35           7.994
             103           59.01           7.622
             104          -61.24           7.695
             105           4.502           8.776
             106           12.92           7.611
             107           67.74           8.112
             108          -20.95            7.03
             109          -9.528           7.662
             110           20.75           7.873
             111           84.37           8.894
             112          -52.73           7.756
             113          -50.87            6.51
             114           7.831           7.997
             115           30.58           6.731
             116          -63.47           7.202
             117          -5.395            6.52
             118           11.17            6.87
             119           50.95           6.718
             120           -57.9           6.798
             121           -20.6           7.002
             122           38.96           6.583
             123           59.25           7.651
             124          -25.17           6.474
             125          -12.24           9.663
             126           20.39           6.467
             127           136.9           9.088
APV               58              11               0               1
               0            68.5           30.69
               1          -27.53           26.78
               2           12.89           24.37
               3           1.044           24.52
               4          -160.7           9.361
               5          -62.17           8.288
               6          -13.91           11.42
               7           43.72           8.975
               8          -63.65           7.799
               9          -34.11           8.385
              10           14.48           8.345
              11           63.97           8.829
              12          -61.61           8.491
              13          -22.08           8.088
              14           19.36           8.136
              15           54.77           8.798
              16           -27.8           8.573
              17          -40.77            7.15
              18          -13.23           14.26
              19           7.815           7.245
              20          -62.35           8.076
              21          -31.62             7.2
              22           14.82           8.893
              23           45.53           7.076
              24           -69.5           7.384
              25           -33.9           7.505
              26            25.1           7.706
              27           44.64           7.622
              28          -46.83           6.976
              29          -21.38           8.553
              30           24.42           7.306
              31           74.32           8.138
              32          -50.37           8.507
              33          -44.68           7.666
              34           11.97           8.576
              35           45.43           8.662
              36          -65.29           7.907
              37          -33.84           7.555
