#Tue Feb 18 16:36:10 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           70.76           30.81
               1          -21.03           25.93
               2          -15.47           23.06
               3           -27.6           23.59
               4            -126           9.394
               5          -44.17           8.237
               6          -19.28           11.17
               7           35.06           8.368
               8          -71.94           7.328
               9          -21.07           8.044
              10           22.19           8.166
              11           54.17           8.268
              12          -53.57            8.14
              13          -2.199           7.971
              14           23.11           7.891
              15           74.99           8.323
              16           3.195           8.184
              17          -33.12           6.702
              18          -11.96           12.24
              19           7.723           6.994
              20          -40.09           7.786
              21           -20.1           6.985
              22           9.399            7.84
              23           59.19           6.712
              24          -63.07           7.091
              25          -24.54           7.234
              26           6.089           7.103
              27           55.06           7.198
              28          -53.68           6.741
              29           -28.1           8.643
              30           24.18           6.803
              31           80.48           7.907
              32          -37.98           8.143
              33          -29.37           7.379
              34           21.23           8.386
              35           44.85           8.194
              36          -56.08           7.715
              37          -24.72           7.084
              38            3.61           8.511
              39           50.68           8.036
              40          -52.63           7.709
              41          -12.46           7.174
              42           22.95           8.812
              43           67.16           8.249
              44          -54.36           7.761
              45          -15.19           8.986
              46           8.914           7.355
              47           84.97           8.647
              48          -26.98           8.146
              49          -21.68           6.822
              50           11.34           10.16
              51           27.71           6.761
              52          -55.69           7.351
              53          -32.97           6.877
              54           10.82           7.613
              55           43.11           6.797
              56          -61.51           6.958
              57           -10.4           7.739
              58            9.64            6.99
              59           49.51           7.298
              60          -45.56           6.665
              61          -22.42           9.742
              62           8.283           6.626
              63           84.53           8.228
              64          -33.34           7.965
              65          -12.86           7.855
              66           5.815           10.54
              67           30.52           8.222
              68          -57.03           7.653
              69          -17.08           7.359
              70           12.99            9.21
              71           62.36           7.815
              72          -55.03            7.59
              73          -24.18           7.073
              74           11.05            7.95
              75           51.65           7.909
              76          -47.88           7.248
              77          -14.57           6.908
              78           19.07            7.29
              79           94.88           8.624
              80          -29.89           8.159
              81          -31.53           6.672
              82          -12.71           8.788
              83           43.64           6.697
              84          -64.01           7.705
              85          -22.98           6.717
              86           9.899           7.214
              87           63.43           6.666
              88          -56.82           6.863
              89          -7.831           7.229
              90           4.691           6.623
              91           67.62           7.353
              92          -37.32           6.604
              93             -12           8.502
              94           19.78            6.53
              95           100.7           8.346
              96          -41.22           7.677
              97          -32.83            6.69
              98           9.419           9.781
              99           36.64             8.7
             100          -59.83           7.498
             101          -21.43           6.684
             102          -11.56           8.133
             103           59.96           7.731
             104          -62.17           7.685
             105           3.591           8.945
             106           12.73           7.657
             107           68.62           8.198
             108           -21.8           7.146
             109          -9.795           7.681
             110           20.88            7.98
             111           85.02           8.939
             112          -52.84           7.852
             113          -51.45           6.479
             114           7.625           8.212
             115           30.93           6.732
             116          -63.89           7.219
             117          -5.895           6.549
             118            11.2           6.917
             119           51.67           6.798
             120          -58.36           6.793
             121          -21.51           6.956
             122           38.51           6.578
             123           60.08           7.594
             124          -25.73           6.547
             125          -13.29           10.02
             126           20.52           6.468
             127           137.8           9.148
APV               58              11               0               1
               0           70.76           30.77
               1          -26.17           26.87
               2            13.5           24.42
               3           1.311           24.56
               4          -160.5           9.419
               5          -61.67           8.497
               6          -13.97           11.59
               7           44.15           9.133
               8           -63.2           7.839
               9          -33.87            8.51
              10           14.08            8.45
              11           63.31           8.914
              12          -61.85           8.571
              13          -22.74           8.171
              14           18.74           8.275
              15           54.49           8.812
              16          -27.46           8.653
              17          -40.51            7.05
              18          -12.95           14.73
              19           7.616           7.367
              20          -61.66           8.177
              21          -31.64           7.269
              22           14.96           8.994
              23           44.98           7.057
              24             -69           7.463
              25          -34.02           7.585
              26           25.17           7.835
              27           44.19           7.672
              28          -46.66           7.002
              29          -21.62           8.805
              30           23.94           7.305
              31           73.84           8.257
              32          -49.92           8.603
              33          -45.04           7.855
              34           11.63           8.683
              35           45.18           8.761
              36          -65.09           7.882
              37          -34.05           7.694
              38           34.56           9.017
              39           73.83           8.797
              40          -65.47           8.056
              41           -29.1           7.621
              42           35.43            9.29
              43           73.41           8.899
              44          -53.49           8.356
              45           2.666           9.393
              46           13.82           7.815
              47           76.33           9.353
              48           -78.1           8.511
              49          -18.46           7.226
              50           2.062            11.9
              51           51.93           7.297
              52           -81.1           7.742
              53          -29.94           7.248
              54           28.51           8.527
              55            56.1           7.178
              56          -60.96           7.375
              57          -18.51            7.87
              58           32.75           7.704
              59           54.03           7.793
              60          -51.16             6.9
              61          -15.89           9.729
              62           30.09           7.182
              63           91.41           8.755
              64          -57.92           8.352
              65          -24.17           8.029
              66           13.24           11.37
              67           65.41           8.969
              68          -75.84           8.125
              69          -40.94           7.723
              70           34.52           10.05
              71           57.96            8.33
              72          -76.29           8.002
              73          -18.16           7.436
              74           40.92           8.611
              75           57.49           8.556
              76          -43.44            7.71
              77          -6.422            7.96
              78           49.63           7.963
              79           92.83           9.285
              80          -34.74           8.718
              81           -51.6           7.035
              82          -9.078           9.969
              83           32.71           6.927
              84          -58.41           8.178
              85          -38.86             7.2
              86           33.88           8.007
              87           51.46           6.861
              88          -66.53           7.276
              89          -36.88           7.867
              90           24.12           7.253
              91           68.39           7.771
              92          -49.07           6.942
              93          -15.81           9.687
              94           48.88           6.971
              95           121.1           8.949
              96          -62.24           8.107
              97          -35.02           7.331
              98           8.517           10.46
              99           48.62           9.382
             100          -57.54           7.986
             101          -27.04           7.535
             102           28.11           8.943
             103           64.58           8.246
             104           -75.2           8.251
             105           -10.4           9.511
             106           26.36             8.3
             107           61.79            8.75
             108          -50.39           7.396
             109          -17.14           8.491
             110           31.07           8.527
             111             132           9.803
             112          -46.38           8.515
             113          -30.72           6.997
             114              20           9.268
             115           42.58           6.943
             116          -66.65           7.707
             117          -37.59           7.044
             118           10.01           7.565
             119            69.3           6.984
             120          -60.53           7.144
             121           -6.67           7.868
             122           36.48           7.062
             123           64.62           7.888
             124          -35.97           6.904
             125           1.583           11.54
             126           39.73            6.92
             127           103.3           9.723
APV               58              11               0               2
               0           23.63           28.49
               1          -5.151           24.56
               2           41.19           22.49
               3          -17.02           22.01
               4          -159.9           9.036
               5          -48.13           8.466
               6           18.52           11.92
               7           21.45           8.935
               8          -58.04           7.643
               9           9.389           8.485
              10           39.57           8.577
              11           38.31           8.584
              12          -27.11           9.345
              13          -14.09             8.1
              14           22.67           8.477
              15            27.8           8.551
              16          -62.83           8.217
              17           -13.2           7.043
              18           20.93           13.95
              19           1.028           7.092
              20          -76.19           7.949
              21          -28.93           7.198
              22           15.73           8.829
              23           23.76           6.934
              24          -44.75           7.541
              25          -15.01           7.533
              26           45.66           7.669
              27           37.93           7.457
              28          -27.77           7.414
              29          -3.901           8.757
              30           25.88            7.18
              31           47.92           8.078
              32          -75.33           8.285
              33          -14.38           8.151
              34           30.27            11.6
              35           7.664           8.238
              36          -85.66           7.813
              37          -25.38           7.762
              38           43.84           9.065
              39           23.02           8.667
              40           -43.1           7.968
              41          -1.545           7.527
              42           23.28           9.511
              43           16.95           8.626
              44          -33.77           8.641
              45           3.425           8.761
              46            27.2           7.922
              47           34.92           8.982
              48          -46.81           8.661
              49          -22.52           7.028
              50           22.89           11.29
              51           10.15           7.061
              52          -64.43           7.786
              53           11.39           7.174
              54           16.91           8.449
              55           44.42           7.061
              56          -35.49           7.463
              57          -29.33           7.794
              58           24.32           7.479
              59            27.4           7.466
              60          -30.63           6.889
              61           8.015           9.878
              62            36.6           7.045
              63           48.46           8.396
              64          -73.28           8.069
              65          -27.73           8.217
              66           49.28           11.71
              67           39.56           8.796
              68          -57.53            7.86
              69          -6.347           7.859
              70           43.45           10.03
              71           39.07           8.233
              72          -41.48           7.957
              73           3.373           7.634
              74           33.85            8.64
              75           30.66            8.37
              76          -43.45           7.903
              77           4.041           7.567
              78           17.01           7.867
              79           38.36           8.891
              80          -77.38           8.562
              81          -30.08           6.931
              82           31.68           9.828
              83           21.23            6.82
              84          -55.44           8.048
              85          -13.95           7.093
              86           30.57           7.847
              87            32.4           6.935
              88          -41.68           7.372
              89           14.49           7.966
              90           34.83           7.148
              91           35.17             7.6
              92          -24.96           7.055
              93           14.61           9.699
              94           14.58           6.778
              95           42.43           8.567
              96          -76.16           7.896
              97          -8.903           7.454
              98           41.02           10.79
              99           13.88           9.142
             100          -77.89           7.687
             101          -12.54           7.583
             102           40.34           9.163
             103            26.1           8.133
             104           -57.9           8.312
             105           -14.6           8.945
             106           39.24           8.351
             107            45.1           8.506
             108           -34.6           7.698
             109           27.43           8.211
             110           37.48           8.617
             111           63.15           9.268
             112          -55.89           8.488
             113           -9.09           6.912
             114           37.87           9.141
             115           25.84           6.717
             116          -56.48           7.668
             117          -2.578           6.962
             118           19.96           7.496
             119           21.25           7.005
             120          -18.09           7.294
             121           2.275           7.835
             122           15.98           6.852
             123           16.35           7.653
             124          -23.71           6.918
             125          -15.94           11.85
             126           37.16           6.856
             127           65.18           9.398
APV               58              11               0               3
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0               0
              35               0               0
              36               0               0
              37               0               0
              38               0               0
              39               0               0
              40               0               0
              41               0               0
              42               0               0
              43               0               0
              44               0               0
              45               0               0
              46               0               0
              47               0               0
              48               0               0
              49               0               0
              50               0               0
              51               0               0
              52               0               0
              53               0               0
              54               0               0
              55               0               0
              56               0               0
              57               0               0
              58               0               0
              59               0               0
              60               0               0
              61               0               0
              62               0               0
              63               0               0
              64               0               0
              65               0               0
              66               0               0
              67               0               0
              68               0               0
              69               0               0
              70               0               0
              71               0               0
              72               0               0
              73               0               0
              74               0               0
              75               0               0
              76               0               0
              77               0               0
              78               0               0
              79               0               0
              80               0               0
              81               0               0
              82               0               0
              83               0               0
              84               0               0
              85               0               0
              86               0               0
              87               0               0
              88               0               0
              89               0               0
              90               0               0
              91               0               0
              92               0               0
              93               0               0
              94               0               0
              95               0               0
              96               0               0
              97               0               0
              98               0               0
              99               0               0
             100               0               0
             101               0               0
             102               0               0
             103               0               0
             104               0               0
             105               0               0
             106               0               0
             107               0               0
             108               0               0
             109               0               0
             110               0               0
             111               0               0
             112               0               0
             113               0               0
             114               0               0
             115               0               0
             116               0               0
             117               0               0
             118               0               0
             119               0               0
             120               0               0
             121               0               0
             122               0               0
             123               0               0
             124               0               0
             125               0               0
             126               0               0
             127               0               0
APV               58              11               0               4
               0            56.7           29.83
