#Fri Feb 14 17:18:19 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           70.14           30.51
               1          -24.83           25.85
               2          -20.36           22.77
               3          -30.16           23.44
               4          -123.4           9.367
               5          -45.56           7.946
               6          -23.33           10.47
               7           32.89           8.209
               8          -68.27           7.346
               9          -16.95           7.712
              10           20.18           7.986
              11           53.44           8.123
              12          -50.73            8.09
              13          -0.838             7.7
              14           21.38           7.623
              15           75.46           8.328
              16           3.533           7.902
              17          -37.04           6.632
              18          -14.29           10.96
              19           5.646           6.833
              20          -38.86           7.629
              21          -20.81           6.831
              22           6.689           7.511
              23           57.13           6.791
              24             -60           6.962
              25          -20.29           7.215
              26           4.759           6.891
              27           54.25           7.295
              28          -52.77           6.644
              29          -30.03            8.21
              30           22.96           6.617
              31           81.64           7.862
              32          -36.43           7.993
              33          -31.89           7.264
              34           17.12           7.974
              35           41.26           7.919
              36           -53.2           7.636
              37          -22.68           6.775
              38         -0.2355           8.078
              39           48.83           7.935
              40          -48.31           7.647
              41          -7.618           7.135
              42           21.02           8.544
              43           67.17           8.182
              44          -53.48           7.582
              45          -20.62           8.772
              46           6.067           7.141
              47           85.78           8.657
              48          -26.93           7.766
              49          -25.07           6.803
              50           8.519           9.399
              51            25.7           6.658
              52          -53.21           7.286
              53          -30.22           6.834
              54           9.058           7.306
              55           41.51           6.743
              56           -59.6           6.916
              57          -8.125           7.561
              58           8.685           6.845
              59           49.56           7.262
              60          -47.44           6.598
              61          -30.02           8.908
              62           5.631           6.528
              63            85.7           8.252
              64          -31.08           7.926
              65          -10.66           7.744
              66           4.623           9.635
              67           29.48           7.906
              68          -52.83           7.562
              69          -15.39           7.048
              70           12.58            8.72
              71           62.55           7.745
              72          -52.56           7.584
              73          -23.03           6.934
              74           10.69           7.595
              75           51.99            7.96
              76          -46.05           7.228
              77          -14.76           6.843
              78           18.13           7.104
              79           96.21           8.658
              80          -28.18           7.847
              81          -31.24           6.637
              82           -12.6           8.253
              83           43.26           6.557
              84          -61.49           7.449
              85          -21.77           6.638
              86            10.1           6.971
              87           63.35           6.678
              88          -56.32           6.789
              89          -7.895           7.144
              90            4.39           6.541
              91           68.13           7.429
              92           -37.4           6.603
              93          -11.77           8.166
              94           19.24           6.431
              95           102.2           8.367
              96          -38.47           7.584
              97          -31.11           6.665
              98            8.56           9.272
              99           36.25           8.496
             100          -56.42            7.47
             101           -19.7           6.528
             102          -11.58           7.811
             103           59.66           7.576
             104          -60.71           7.801
             105           3.046            8.76
             106           12.41           7.459
             107           69.17           8.099
             108          -20.45           7.153
             109          -10.41           7.643
             110           19.88           7.703
             111           86.75           8.937
             112          -50.86           7.486
             113          -50.39           6.492
             114           8.021           7.874
             115           30.79           6.686
             116           -62.2           7.118
             117           -5.05           6.624
             118           11.63           6.768
             119           51.69           6.741
             120          -58.58           6.775
             121          -21.81           6.938
             122           38.36           6.461
             123           60.87           7.619
             124          -25.71           6.446
             125          -12.72           9.194
             126           19.83           6.446
             127             140           9.114
APV               58              11               0               1
               0           69.86           30.69
               1          -30.11           26.67
               2           15.33           24.09
               3           4.116           24.34
               4          -161.2           9.365
               5          -64.43           8.235
               6          -12.43           10.84
               7           46.13            8.98
               8          -65.37            7.81
               9          -36.19           8.218
              10           16.61           8.208
              11           66.92           8.872
              12          -63.57           8.602
              13          -23.08           7.765
              14            22.2           7.987
              15           57.46           8.841
              16          -28.85            8.37
              17          -42.13           7.039
              18          -12.33           12.81
              19           10.02           7.216
              20          -63.26           7.913
              21          -34.14           7.118
              22           14.64           8.322
