#Wed Jun 18 15:45:10 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
               0           60.13           30.19
               1          -22.29           25.58
               2           27.12           22.77
               3          -9.945           23.16
               4          -150.6           9.776
               5          -73.55           8.912
               6         -0.2431           10.67
               7           36.02           8.747
               8          -73.06           7.972
               9          -15.74           9.059
              10           25.44           8.157
              11           68.96           8.627
              12           -41.8           8.875
              13           -19.7           8.621
              14           50.03           8.024
              15           78.04           8.674
              16          -59.96           8.622
              17          -48.14           7.216
              18           3.367           11.65
              19           16.99           7.291
              20          -81.49           8.243
              21          -28.55           7.301
              22           19.24            7.91
              23           45.67           7.172
              24          -71.98           7.749
              25          -12.58           7.632
              26           23.98           7.351
              27           49.29           7.598
              28          -66.76           7.265
              29          -21.92           8.952
              30           38.59           7.124
              31           79.11           8.207
              32          -59.88           8.749
              33           -39.8           7.713
              34           15.08           8.403
              35           43.15           8.211
              36          -75.18           8.206
              37          -35.74           7.489
              38            33.9           8.435
              39            69.8           8.496
              40          -45.35           8.458
              41          -15.67           7.815
              42           20.36           8.724
              43              53           8.553
              44          -75.97            8.05
              45           1.056            10.3
              46           35.79           7.703
              47           86.29           9.116
              48          -67.63           8.621
              49          -49.33           7.172
              50           8.378           9.825
              51           23.39           7.129
              52          -74.76           7.906
              53          -20.07           7.404
              54            9.91           7.675
              55           41.55            7.27
              56          -69.34           7.597
              57          -20.75           8.005
              58           18.16           7.294
              59            44.7           7.784
              60          -41.09           7.273
              61          -34.17           10.04
              62           45.67           7.034
              63           103.8           8.669
              64           -71.6           8.631
              65           -38.2           8.734
              66            21.9           10.18
              67           40.47           8.163
              68          -62.61           8.371
              69          -2.057           8.367
              70           20.62           9.011
              71           57.79            8.12
              72          -71.33           8.229
              73          -22.62           8.132
              74           42.68           8.226
              75           74.94           8.408
              76          -40.86           7.796
              77          -30.39           7.539
              78           43.78            7.52
              79           98.77           9.118
              80          -88.31           8.656
              81          -32.48           7.169
