#Sun May 11 07:41:11 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
              10           19.42           8.096
              11            43.9           7.933
              12          -59.59           8.612
              13          -7.984           7.227
              14          -4.941           7.833
              15           34.23           8.017
              16          -43.09           8.012
              17          -24.37           6.652
              18          -15.57           13.54
              19           21.99           6.712
              20          -62.76           7.572
              21          -18.95           6.697
              22           19.66           8.324
              23           39.35           6.525
              24          -55.62           6.974
              25          -6.428           7.087
              26           1.396           7.117
              27           29.25           7.007
              28          -35.65           6.988
              29           6.002           8.208
              30           21.47           6.713
              31            77.4           7.565
              32          -10.76           8.053
              33          -28.09           7.612
              34            11.5           11.25
              35            17.8           7.708
              36          -55.04           7.381
              37          -35.19            7.28
              38           31.22           8.601
              39           53.93           8.203
              40          -59.66           7.365
              41          -19.87           6.854
              42           13.43           8.859
              43            48.3           8.084
              44          -55.85           8.119
              45           5.719           7.427
              46           12.62           7.309
              47           66.63           8.382
              48          -47.62           8.261
              49           1.395           6.643
              50          -5.565           10.91
              51           21.22           6.491
              52          -31.34           7.488
              53          -9.147           6.702
              54           11.79           7.893
              55           46.33           6.547
              56          -38.64           6.902
              57           -12.5           7.304
              58           6.719           7.005
              59           60.58           7.151
              60          -48.56           6.456
              61          -28.23           9.175
              62           13.53           6.521
              63           47.29           7.999
              64          -57.89           7.556
              65          -27.56            7.01
              66            8.77           11.07
              67           39.65           8.315
              68          -54.82           7.295
              69          -29.85           6.783
              70           2.478           9.613
              71           55.73           7.731
              72          -46.11           7.423
              73          -1.941           6.512
              74           31.29           8.259
              75           64.95           7.888
              76          -63.14           7.431
              77           2.339           6.769
              78           36.22           7.465
              79           74.82           8.516
              80          -32.92           8.136
              81          -5.418           6.568
              82           31.32           9.395
              83           45.05           6.502
              84          -58.15           7.604
              85           1.093           6.561
              86           26.54           7.363
              87           43.27           6.577
              88          -49.12             6.9
              89          -4.127           7.328
              90           10.82           6.726
              91           43.99           7.219
              92          -63.33           6.518
              93          -6.183           9.109
              94           37.22           6.422
              95           74.83           8.303
              96          -44.41           7.464
              97          -29.43           7.057
              98          -12.24           10.19
              99           23.47           8.682
             100           -71.3           7.316
             101          -6.431           6.975
             102           16.56           8.651
             103            53.7           7.707
             104          -38.57           7.762
             105          -2.131           7.084
             106           23.14           8.054
             107           57.21           8.097
             108          -57.16           7.344
             109          0.6499           7.143
             110           31.07           8.151
             111           85.33           8.953
             112          -37.86            7.89
             113          -21.99           6.446
             114           19.14           8.637
             115           40.37           6.513
             116          -28.65           7.316
             117          -10.62           6.502
             118           11.45           7.024
             119           52.15           6.635
             120          -45.63           6.818
             121           1.566           7.194
             122           12.97           6.452
             123           53.95           7.547
             124          -50.47           6.349
             125          -14.32           11.15
             126           16.45           6.326
             127           103.3           9.137
APV               58              11               0               3
               0            45.1            28.1
               1          -19.85           23.42
               2          -13.05           20.75
               3           25.72           21.08
               4          -155.8           8.599
               5          -76.19           7.533
               6          -11.89           10.64
               7           38.76           8.371
               8          -74.67           7.003
               9          -32.18           7.313
              10           28.33           7.894
              11           55.85           8.102
              12          -73.64             7.7
              13          -9.084           7.277
              14           28.54           7.604
              15           60.43           8.058
              16          -52.34           7.794
              17          -48.88           6.538
              18           15.26           14.14
