       0.177348        0.161291        0.176849        0.178545        0.190196        0.200864        0.175708         0.17164        0.201332 
       0.211766        0.214841        0.178836        0.202176        0.185398        0.199932        0.201932        0.201821        0.169169 
       0.198882        0.221479        0.201812        0.202193        0.207467        0.217165        0.209687        0.225424        0.202469 
       0.193232        0.201847        0.194958        0.195463        0.177443        0.191199        0.206646        0.204795        0.237927 
       0.229318        0.201588        0.195714        0.207405        0.216852        0.214224        0.225026        0.188725        0.200124 
       0.226921         0.19756        0.181118        0.207034        0.180106        0.181811        0.217884        0.188323        0.195088 
       0.211196        0.202086        0.201762        0.198127        0.198314        0.187686        0.203361        0.204812         0.20122 
       0.167418        0.182788        0.157078         0.18071         0.18822        0.173809        0.181314        0.178517        0.180232 
       0.184504        0.190453        0.201749        0.178222        0.210838        0.179414        0.199575        0.206403        0.243247 
       0.213954        0.198137        0.261342        0.200118        0.200118        0.200118        0.200118        0.200118        0.200118 
