       0.283231        0.240542        0.249726        0.262938        0.245776        0.245811        0.253681        0.252464        0.247351 
       0.230884        0.227862        0.249758        0.267426         0.25804        0.251112        0.254694         0.25291        0.251116 
       0.232846        0.278681        0.266005        0.255254         0.26235        0.249736        0.272753         0.25671        0.262262 
       0.265924        0.265434        0.276966        0.262598        0.265728        0.255569        0.268892        0.259991        0.304873 
       0.281924        0.286449        0.269717        0.325864        0.262655        0.281567        0.314083        0.278869        0.259767 
       0.293902        0.282324        0.273807        0.279406        0.272602        0.301173        0.293156        0.283119        0.289503 
       0.281653        0.285614        0.280458         0.28549        0.274457        0.286493        0.313274        0.284181        0.263867 
       0.271608        0.265424        0.233098        0.261812        0.279019        0.261123        0.267922        0.256959        0.274495 
       0.250689        0.262058        0.242727        0.249432        0.274997        0.250837        0.229467        0.212736        0.259281 
       0.241926        0.185855        0.278682        0.275853        0.275853        0.275853        0.275853        0.275853        0.275853 
